"user_primary_key","video_min_date","video_max_date","video_days","video_use_time","video_n_life","video_kind_life","vido_n_finish","video_n_school","video_repeat_rate","video_finish_rate","video_school_rate","video_finish_time","video_kind_finish","video_finish_school","video_f_time_mean","video_f_repeat_rate","video_f_school_rate","video_use_time_s1","video_n_s1","video_kind_s1","video_finish_time_s1","video_finish_s1","video_kind_finish_s1","video_finish_time_mean_s1","video_use_time_s2","video_n_s2","video_kind_s2","video_finish_time_s2","video_finish_s2","video_kind_finish_s2","video_finish_time_mean_s2"
"-20407961009489307",2015-10-13,2015-10-27,14,1131,8,7,4,8,0.875,0.5,1,894,4,4,223.5,1,1,NA,NA,NA,NA,NA,NA,NA,1131,8,7,894,4,4,223.5
"-2040799381115888448",2014-10-13,2015-10-21,373,349,3,3,1,2,1,0.333,0.667,145,1,1,145,1,1,NA,NA,NA,NA,NA,NA,NA,269,2,2,145,1,1,145
"-2044206649131662644",2015-03-05,2015-03-05,0,192,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,192,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2048138743306436402",2015-03-24,2015-10-20,210,761,5,5,1,1,1,0.2,0.2,146,1,0,146,1,0,384,4,4,146,1,1,146,377,1,1,NA,NA,NA,NA
"-2048621284461081026",2015-03-17,2015-03-17,0,695,3,3,2,0,1,0.667,0,589,2,0,294.5,1,0,695,3,3,589,2,2,294.5,NA,NA,NA,NA,NA,NA,NA
"-2049075726559466217",2015-01-20,2015-06-04,135,4754,18,17,15,3,0.944,0.833,0.167,4269,14,1,284.6,0.933,0.067,1973,9,9,1973,9,9,219.222222222222,NA,NA,NA,NA,NA,NA,NA
"-2066539257112285372",2014-05-30,2014-11-28,182,1044,6,5,3,0,0.833,0.5,0,445,2,0,148.333,0.667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2095971027625932141",2015-10-16,2015-10-16,0,611,2,2,1,2,1,0.5,1,463,1,1,463,1,1,NA,NA,NA,NA,NA,NA,NA,611,2,2,463,1,1,463
"-2097115159626592565",2015-08-31,2015-08-31,0,24,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2103860309880832998",2015-09-09,2015-10-28,49,2959,16,16,16,16,1,1,1,2959,16,16,184.938,1,1,NA,NA,NA,NA,NA,NA,NA,2959,16,16,2959,16,16,184.9375
"-2106469692889665236",2015-08-03,2015-08-03,0,68,1,1,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
