user_primary_key,total_time_taken_s1,total_attempt_cnt_s1,hint_cnt_s1,review_mode_s1,pretest_mode_s1,n_s1,total_time_taken_s2,total_attempt_cnt_s2,hint_cnt_s2,review_mode_s2,pretest_mode_s2,n_s2,total_time_taken,total_attempt_cnt,hint_cnt,review_mode,pretest_mode,n
-1001679963443132023,15,1,0.2777777777777778,0,0,18,NA,NA,NA,NA,NA,NA,6.7251908396946565,1.1030534351145038,0.03435114503816794,0,0,262
-1003932211595340651,9.7625,1.0375,0,0,0,80,NA,NA,NA,NA,NA,NA,10.443298969072165,1.0515463917525774,0.020618556701030927,0,0,97
-102242605380371657,10,1,0,0,0,1,NA,NA,NA,NA,NA,NA,17.493506493506494,1.1428571428571428,0.07792207792207792,0,0,77
-103808604600726914,19.100840336134453,1.2352941176470589,0.9831932773109243,0,0,119,12,1,0,1,0,5,12.516867469879518,1.191566265060241,0.19879518072289157,0.00963855421686747,0,830
-1039698400584513425,138.5,1.5,3,0,0,2,20.166666666666668,1.5,0.16666666666666666,0,1,6,41.36363636363637,1.3636363636363635,1.4545454545454546,0,0.5454545454545454,11
-1041939985080023904,6.6875,1.171875,0,0,0,64,NA,NA,NA,NA,NA,NA,7.208333333333333,1.1527777777777777,0,0,0,72
-1047910102923304583,8.875,1,0,0,0,8,NA,NA,NA,NA,NA,NA,12.26923076923077,1.7167832167832169,0.527972027972028,0.055944055944055944,0,286
-108414110392908818,7.994219653179191,1.1502890173410405,0,0,0,173,10.818181818181818,1,0,0,0,11,11.342245989304812,1.1524064171122994,0.029411764705882353,0,0,374
-1099385066196476612,10.214285714285714,1.3214285714285714,1.5,0,0,28,NA,NA,NA,NA,NA,NA,19.35238095238095,1.438095238095238,1.6761904761904762,0,0,105
-11009409510197952,21.231404958677686,3.322314049586777,0.24793388429752067,0,0,121,NA,NA,NA,NA,NA,NA,18.588,2.968,0.98,0,0,250
-1102517609168241238,26.307692307692307,1.9230769230769231,0.8974358974358975,0,0,39,NA,NA,NA,NA,NA,NA,22.321518987341772,1.830379746835443,1.4253164556962026,0,0,395
-1111959984454655666,8.79136690647482,1.5179856115107915,0.20863309352517986,0,0,139,NA,NA,NA,NA,NA,NA,8.317226890756302,1.346638655462185,0.10714285714285714,0,0,476
