user_primary_key_hash,pre_exam,post_exam
6530541279460296855,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6538511500788960176,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6563022655357094385,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
6570932783536514092,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
6571603206400288149,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
6572092359875493414,2015-04-24 07:46:45.63111 UTC,2015-10-30 09:01:24.40038 UTC
658062319496094785,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6583576287929574397,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
6588586032641813720,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
6592498344931208394,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
6600079110498587458,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
6601225051458963511,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6602867541927545686,2015-04-24 07:46:45.63111 UTC,2015-10-30 09:01:24.40038 UTC
6604225073382189735,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6604456243324221065,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
6606676513335020500,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
6610705448413740778,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
6616635659308748212,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6620717558109602552,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
6621214571190688702,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
6622256126092547656,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
6622584240363735889,2015-04-30 18:06:00.61024 UTC,2015-10-30 09:02:53.15014 UTC
6623986261796266393,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
6624721493639543251,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6625992127479374526,2015-04-24 07:46:45.63111 UTC,2015-10-30 09:01:24.40038 UTC
6628391793207911450,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
6630170664608679816,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
6630810813071334434,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
663344110630017741,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6635172766103984299,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
6635854693525292275,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6640031304951823664,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
6641888412945174131,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6641928105025650169,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
6646416372803572074,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6646604761949218249,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
665006693436866726,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6650067749292422959,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
6657179806963086908,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
6657376036814090567,2015-04-24 07:46:45.63111 UTC,2015-10-30 09:01:24.40038 UTC
6666196503244842097,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6668846310710168338,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6671625260922405337,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
6682636060668127381,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
668309019831000065,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6684759905910795154,2015-04-24 07:46:45.63111 UTC,2015-10-30 09:01:24.40038 UTC
6687339238534457819,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6688467119841570526,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6689686945179979063,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
6690731355136669886,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6691822013939206216,2015-04-24 07:46:45.63111 UTC,2015-10-30 09:01:24.40038 UTC
6692093678918276490,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6695153147943746616,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
6695507152692523618,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6700505555813739175,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
6706542496084847473,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6709577828048903660,2015-04-24 07:46:45.63111 UTC,2015-10-30 09:01:24.40038 UTC
671137554683244510,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6711649764458626510,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
6712580709197435179,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6719099573444068429,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
6723327091468256899,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
6723649741250709609,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
